GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Solari - Inventory Service,br.com.solari.application.usecase,UpdateInventory,0,54,0,4,0,11,0,4,0,2
Solari - Inventory Service,br.com.solari.application.usecase,DeleteInventory,0,18,0,0,0,4,0,2,0,2
Solari - Inventory Service,br.com.solari.application.usecase,CreateInventory,0,44,0,2,0,12,0,2,0,1
Solari - Inventory Service,br.com.solari.application.usecase,FindInventoryById,0,14,0,0,0,2,0,2,0,2
Solari - Inventory Service,br.com.solari.application.usecase,SearchInventory,0,5,0,0,0,1,0,1,0,1
Solari - Inventory Service,br.com.solari.application.usecase.exception,BusinessException,0,10,0,0,0,4,0,1,0,1
Solari - Inventory Service,br.com.solari.application.usecase.exception,InventoryNotFoundException,0,24,0,0,0,4,0,2,0,2
Solari - Inventory Service,br.com.solari.infrastructure.presenter,InventoryPresenter,16,0,0,0,6,0,2,0,2,0
Solari - Inventory Service,br.com.solari.application.domain,Inventory,0,56,0,2,0,21,0,4,0,3
Solari - Inventory Service,br.com.solari.application.gateway.exception,GatewayException,0,7,0,0,0,3,0,1,0,1
Solari - Inventory Service,br.com.solari.application.domain.exception,ErrorDetail,0,12,0,0,0,1,0,1,0,1
Solari - Inventory Service,br.com.solari.application.domain.exception,DomainException,0,13,0,0,0,5,0,1,0,1
Solari - Inventory Service,br.com.solari.infrastructure.controller,InventoryController,0,91,0,0,0,21,0,6,0,6
Solari - Inventory Service,br.com.solari.infrastructure.gateway,InventoryGatewayImpl,0,91,0,0,0,22,0,7,0,7
Solari - Inventory Service,br.com.solari.infrastructure.presenter.response,InventoryPresenterResponse,0,12,0,0,0,1,0,1,0,1
